wiki_form|generated_match|lcs_match|match_desinence_idx|lcs_infl_class|oes_lemma|match_code
всё|все|vьśe|0|non_infl|Dfвьсе|1
жёнка|женка|ženъka|22|fem_a|Nbженъка|1
жёнки|женки|ženъky|24|fem_a|Nbженъка|1
жёнок|женок|ženъkъ|38|fem_a|Nbженъка|1
жёнке|женке|ženъkě|25|fem_a|Nbженъка|1
жёнкам|женкам|ženъkamъ|39|fem_a|Nbженъка|1
жёнку|женку|ženъkǫ|23|fem_a|Nbженъка|1
жёнкой|женкой|ženъkojǫ|27|fem_a|Nbженъка|1
жёнкою|женкою|ženъkojǫ|27|fem_a|Nbженъка|1
жёнками|женками|ženъkami|41|fem_a|Nbженъка|1
жёнках|женках|ženъkaxъ|40|fem_a|Nbженъка|1
жёсткий||||adj_hard|A-жестъкыи|0
жёсткое|жесткое|žestъkoje|43|adj_hard|A-жестъкыи|1
жёсткая|жесткая|žestъkajǢ|22|adj_hard|A-жестъкыи|1
жёсткие|жесткие|žestъkyję̌|15|adj_hard|A-жестъкыи|1
жёсткого|жесткого|žestъkogo|3|adj_hard|A-жестъкыи|1
жёсткой|жесткой|žestъkъjь|1|adj_hard|A-жестъкыи|1
жёстких|жестких|žestъkyxъ|17|adj_hard|A-жестъкыи|1
жёсткому|жесткому|žestъkomu|4|adj_hard|A-жестъкыи|1
жёстким|жестким|žestъkymь|6|adj_hard|A-жестъкыи|1
жёсткую|жесткую|žestъkǫjǫ|23|adj_hard|A-жестъкыи|1
жёсткою|жесткою|žestъkojǫ|27|adj_hard|A-жестъкыи|1
жёсткими|жесткими|žestъkymi|20|adj_hard|A-жестъкыи|1
жёстком|жестком|žestъkomь|5|adj_hard|A-жестъкыи|1
жёсток|жесток|žestъkъ|7|adj_hard|A-жестъкыи|1
жёстко|жестко|žestъko|49|adj_hard|A-жестъкыи|1
жестка́|жестка|žestъka|8|adj_hard|A-жестъкыи|1
жёстки|жестки|žestъky|21|adj_hard|A-жестъкыи|1
жестки́|жестки|žestъky|21|adj_hard|A-жестъкыи|1
ковёр|ковер|kovьrъ|1|masc_o|Nbковьръ|1
ковры́|ковры|kovьry|16|masc_o|Nbковьръ|1
ковра́|ковра|kovьra|3|masc_o|Nbковьръ|1
ковро́в|ковров|kovьrovъ|17|masc_o|Nbковьръ|1
ковру́|ковру|kovьru|4|masc_o|Nbковьръ|1
ковра́м|коврам|kovьramъ|18|masc_o|Nbковьръ|1
ковро́м|ковром|kovьrOmь|6|masc_o|Nbковьръ|1
ковра́ми|коврами|kovьrami|20|masc_o|Nbковьръ|1
ковре́|ковре|kovьrě|5|masc_o|Nbковьръ|1
ковра́х|коврах|kovьraxъ|19|masc_o|Nbковьръ|1
козёл|козел|kozьlъ|1|masc_o|Nbкозьлъ|1
козлы́|козлы|kozьly|16|masc_o|Nbкозьлъ|1
козла́|козла|kozьla|3|masc_o|Nbкозьлъ|1
козло́в|козлов|kozьlovъ|17|masc_o|Nbкозьлъ|1
козлу́|козлу|kozьlu|4|masc_o|Nbкозьлъ|1
козла́м|козлам|kozьlamъ|18|masc_o|Nbкозьлъ|1
козло́м|козлом|kozьlOmь|6|masc_o|Nbкозьлъ|1
козла́ми|козлами|kozьlami|20|masc_o|Nbкозьлъ|1
козле́|козле|kozьlě|5|masc_o|Nbкозьлъ|1
козла́х|козлах|kozьlaxъ|19|masc_o|Nbкозьлъ|1
котёл|котел|kotьlъ|1|masc_o|Nbкотьлъ|1
котлы́|котлы|kotьly|16|masc_o|Nbкотьлъ|1
котла́|котла|kotьla|3|masc_o|Nbкотьлъ|1
котло́в|котлов|kotьlovъ|17|masc_o|Nbкотьлъ|1
котлу́|котлу|kotьlu|4|masc_o|Nbкотьлъ|1
котла́м|котлам|kotьlamъ|18|masc_o|Nbкотьлъ|1
котло́м|котлом|kotьlOmь|6|masc_o|Nbкотьлъ|1
котла́ми|котлами|kotьlami|20|masc_o|Nbкотьлъ|1
котле́|котле|kotьlě|5|masc_o|Nbкотьлъ|1
котла́х|котлах|kotьlaxъ|19|masc_o|Nbкотьлъ|1
крёстный||||adj_hard|A-крьстьныи|0
крёстное|крестное|krьstьnoje|43|adj_hard|A-крьстьныи|1
крёстная|крестная|krьstьnajǢ|22|adj_hard|A-крьстьныи|1
крёстные|крестные|krьstьnyję̌|15|adj_hard|A-крьстьныи|1
крёстного|крестного|krьstьnogo|3|adj_hard|A-крьстьныи|1
крёстной|крестной|krьstьnъjь|1|adj_hard|A-крьстьныи|1
крёстных|крестных|krьstьnyxъ|17|adj_hard|A-крьстьныи|1
крёстному|крестному|krьstьnomu|4|adj_hard|A-крьстьныи|1
крёстным|крестным|krьstьnymь|6|adj_hard|A-крьстьныи|1
крёстную|крестную|krьstьnǫjǫ|23|adj_hard|A-крьстьныи|1
крёстною|крестною|krьstьnojǫ|27|adj_hard|A-крьстьныи|1
крёстными|крестными|krьstьnymi|20|adj_hard|A-крьстьныи|1
крёстном|крестном|krьstьnomь|5|adj_hard|A-крьстьныи|1
крёстен||||adj_hard|A-крьстьныи|0
крёстно|крестно|krьstьno|49|adj_hard|A-крьстьныи|1
крёстна|крестна|krьstьna|8|adj_hard|A-крьстьныи|1
крёстны|крестны|krьstьny|21|adj_hard|A-крьстьныи|1
лёгкий||||adj_hard|A-льгъкыи|0
лёгкое|легкое|lьgъkoje|43|adj_hard|A-льгъкыи|1
лёгкая|легкая|lьgъkajǢ|22|adj_hard|A-льгъкыи|1
лёгкие|легкие|lьgъkyję̌|15|adj_hard|A-льгъкыи|1
лёгкого|легкого|lьgъkogo|3|adj_hard|A-льгъкыи|1
лёгкой|легкой|lьgъkъjь|1|adj_hard|A-льгъкыи|1
лёгких|легких|lьgъkyxъ|17|adj_hard|A-льгъкыи|1
лёгкому|легкому|lьgъkomu|4|adj_hard|A-льгъкыи|1
лёгким|легким|lьgъkymь|6|adj_hard|A-льгъкыи|1
лёгкую|легкую|lьgъkǫjǫ|23|adj_hard|A-льгъкыи|1
лёгкою|легкою|lьgъkojǫ|27|adj_hard|A-льгъкыи|1
лёгкими|легкими|lьgъkymi|20|adj_hard|A-льгъкыи|1
лёгком|легком|lьgъkomь|5|adj_hard|A-льгъкыи|1
лёгок||||adj_hard|A-льгъкыи|0
легко́|легко|lьgъko|49|adj_hard|A-льгъкыи|1
легка́|легка|lьgъka|8|adj_hard|A-льгъкыи|1
легки́|легки|lьgъky|21|adj_hard|A-льгъкыи|1
лёд|лед|ledъ|1|masc_o|Nbледъ|1
льды||||masc_o|Nbледъ|0
льда||||masc_o|Nbледъ|0
льдов||||masc_o|Nbледъ|0
льду||||masc_o|Nbледъ|0
льдам||||masc_o|Nbледъ|0
льдом||||masc_o|Nbледъ|0
льда́ми||||masc_o|Nbледъ|0
льде||||masc_o|Nbледъ|0
льдах||||masc_o|Nbледъ|0
лён|лен|lьnъ|1|masc_o|Nbльнъ|1
льны́|льны|lьny|16|masc_o|Nbльнъ|1
льна́|льна|lьna|3|masc_o|Nbльнъ|1
льно́в|льнов|lьnovъ|17|masc_o|Nbльнъ|1
льну́|льну|lьnu|4|masc_o|Nbльнъ|1
льна́м|льнам|lьnamъ|18|masc_o|Nbльнъ|1
льно́м|льном|lьnOmь|6|masc_o|Nbльнъ|1
льна́ми|льнами|lьnami|20|masc_o|Nbльнъ|1
льне́|льне|lьně|5|masc_o|Nbльнъ|1
льна́х|льнах|lьnaxъ|19|masc_o|Nbльнъ|1
льну|льну|lьnu|4|masc_o|Nbльнъ|1
мёртвый||||adj_hard|A-мьртвыи|0
мёртвое|мертвое|mṝtvoje|43|adj_hard|A-мьртвыи|1
мёртвая|мертвая|mṝtvajǢ|22|adj_hard|A-мьртвыи|1
мёртвые|мертвые|mṝtvyję̌|15|adj_hard|A-мьртвыи|1
мёртвого|мертвого|mṝtvogo|3|adj_hard|A-мьртвыи|1
мёртвой|мертвой|mṝtvъjь|1|adj_hard|A-мьртвыи|1
мёртвых|мертвых|mṝtvyxъ|17|adj_hard|A-мьртвыи|1
мёртвому|мертвому|mṝtvomu|4|adj_hard|A-мьртвыи|1
мёртвым|мертвым|mṝtvymь|6|adj_hard|A-мьртвыи|1
мёртвую|мертвую|mṝtvǫjǫ|23|adj_hard|A-мьртвыи|1
мёртвою|мертвою|mṝtvojǫ|27|adj_hard|A-мьртвыи|1
мёртвыми|мертвыми|mṝtvymi|20|adj_hard|A-мьртвыи|1
мёртвом|мертвом|mṝtvomь|5|adj_hard|A-мьртвыи|1
мёртв|мертв|mṝtvъ|7|adj_hard|A-мьртвыи|1
мёртво|мертво|mṝtvo|49|adj_hard|A-мьртвыи|1
мертво́|мертво|mṝtvo|49|adj_hard|A-мьртвыи|1
мертва́|мертва|mṝtva|8|adj_hard|A-мьртвыи|1
мёртвы|мертвы|mṝtvy|21|adj_hard|A-мьртвыи|1
мертвы́|мертвы|mṝtvy|21|adj_hard|A-мьртвыи|1
неизречённый|||||A-неизреченьныи|0
некрещёный||||adj_hard|A-некрьщеныи|0
некрещёное||||adj_hard|A-некрьщеныи|0
некрещёная||||adj_hard|A-некрьщеныи|0
некрещёные||||adj_hard|A-некрьщеныи|0
некрещёного||||adj_hard|A-некрьщеныи|0
некрещёной||||adj_hard|A-некрьщеныи|0
некрещёных||||adj_hard|A-некрьщеныи|0
некрещёному||||adj_hard|A-некрьщеныи|0
некрещёным||||adj_hard|A-некрьщеныи|0
некрещёную||||adj_hard|A-некрьщеныи|0
некрещёною||||adj_hard|A-некрьщеныи|0
некрещёными||||adj_hard|A-некрьщеныи|0
некрещёном||||adj_hard|A-некрьщеныи|0
овёс|овес|ovьsъ|1|masc_o|Nbовьсъ|1
овсы́|овсы|ovьsy|16|masc_o|Nbовьсъ|1
овса́|овса|ovьsa|3|masc_o|Nbовьсъ|1
овсо́в|овсов|ovьsovъ|17|masc_o|Nbовьсъ|1
овсу́|овсу|ovьsu|4|masc_o|Nbовьсъ|1
овса́м|овсам|ovьsamъ|18|masc_o|Nbовьсъ|1
овсо́м|овсом|ovьsOmь|6|masc_o|Nbовьсъ|1
овса́ми|овсами|ovьsami|20|masc_o|Nbовьсъ|1
овсе́|овсе|ovьsě|5|masc_o|Nbовьсъ|1
овса́х|овсах|ovьsaxъ|19|masc_o|Nbовьсъ|1
орёл|орел|orьlъ|1|masc_o|Nbорьлъ|1
орлы́|орлы|orьly|16|masc_o|Nbорьлъ|1
орла́|орла|orьla|3|masc_o|Nbорьлъ|1
орло́в|орлов|orьlovъ|17|masc_o|Nbорьлъ|1
орлу́|орлу|orьlu|4|masc_o|Nbорьлъ|1
орла́м|орлам|orьlamъ|18|masc_o|Nbорьлъ|1
орло́м|орлом|orьlOmь|6|masc_o|Nbорьлъ|1
орла́ми|орлами|orьlami|20|masc_o|Nbорьлъ|1
орле́|орле|orьlě|5|masc_o|Nbорьлъ|1
орла́х|орлах|orьlaxъ|19|masc_o|Nbорьлъ|1
пёс|пес|pьsъ|1|masc_o|Nbпьсъ|1
псы|псы|pьsy|16|masc_o|Nbпьсъ|1
пса|пса|pьsa|3|masc_o|Nbпьсъ|1
псов|псов|pьsovъ|17|masc_o|Nbпьсъ|1
псу|псу|pьsu|4|masc_o|Nbпьсъ|1
псам|псам|pьsamъ|18|masc_o|Nbпьсъ|1
псом|псом|pьsOmь|6|masc_o|Nbпьсъ|1
пса́ми|псами|pьsami|20|masc_o|Nbпьсъ|1
псе|псе|pьsě|5|masc_o|Nbпьсъ|1
псах|псах|pьsaxъ|19|masc_o|Nbпьсъ|1
питьё|питье|pitьje|43|nt_jo|Nbпитие|1
питья́|питья|pitьjǢ|45|nt_jo|Nbпитие|1
пите́й|питей|pitьjь|59|nt_jo|Nbпитие|1
питью́|питью|pitьju|46|nt_jo|Nbпитие|1
питья́м|питьям|pitьjǢmъ|60|nt_jo|Nbпитие|1
питьём|питьем|pitьjEmь|48|nt_jo|Nbпитие|1
питья́ми|питьями|pitьjǢmi|62|nt_jo|Nbпитие|1
питье́|питье|pitьje|43|nt_jo|Nbпитие|1
питья́х|питьях|pitьjǢxъ|61|nt_jo|Nbпитие|1
ребёнок||||masc_o|Nbробенъкъ|0
де́ти||||masc_o|Nbробенъкъ|0
ребёнка||||masc_o|Nbробенъкъ|0
дете́й||||masc_o|Nbробенъкъ|0
ребёнку||||masc_o|Nbробенъкъ|0
де́тям||||masc_o|Nbробенъкъ|0
ребёнком||||masc_o|Nbробенъкъ|0
детьми́||||masc_o|Nbробенъкъ|0
ребёнке||||masc_o|Nbробенъкъ|0
де́тях||||masc_o|Nbробенъкъ|0
счёт|счет|sъčьtъ|1|masc_o|Nbсъчьтъ|1
счёты||||masc_o|Nbсъчьтъ|0
счёта||||masc_o|Nbсъчьтъ|0
счётов||||masc_o|Nbсъчьтъ|0
счёту||||masc_o|Nbсъчьтъ|0
счётам||||masc_o|Nbсъчьтъ|0
счётом||||masc_o|Nbсъчьтъ|0
счётами||||masc_o|Nbсъчьтъ|0
счёте||||masc_o|Nbсъчьтъ|0
счётах||||masc_o|Nbсъчьтъ|0
твёрдо|твердо|tvṝdo|0|non_infl|Dfтвьрдо|1
твёрдый||||adj_hard|A-твьрдыи|0
твёрдое|твердое|tvṝdoje|43|adj_hard|A-твьрдыи|1
твёрдая|твердая|tvṝdajǢ|22|adj_hard|A-твьрдыи|1
твёрдые|твердые|tvṝdyję̌|15|adj_hard|A-твьрдыи|1
твёрдого|твердого|tvṝdogo|3|adj_hard|A-твьрдыи|1
твёрдой|твердой|tvṝdъjь|1|adj_hard|A-твьрдыи|1
твёрдых|твердых|tvṝdyxъ|17|adj_hard|A-твьрдыи|1
твёрдому|твердому|tvṝdomu|4|adj_hard|A-твьрдыи|1
твёрдым|твердым|tvṝdymь|6|adj_hard|A-твьрдыи|1
твёрдую|твердую|tvṝdǫjǫ|23|adj_hard|A-твьрдыи|1
твёрдою|твердою|tvṝdojǫ|27|adj_hard|A-твьрдыи|1
твёрдыми|твердыми|tvṝdymi|20|adj_hard|A-твьрдыи|1
твёрдом|твердом|tvṝdomь|5|adj_hard|A-твьрдыи|1
твёрд|тверд|tvṝdъ|7|adj_hard|A-твьрдыи|1
твёрдо|твердо|tvṝdo|49|adj_hard|A-твьрдыи|1
тверда́|тверда|tvṝda|8|adj_hard|A-твьрдыи|1
твёрды|тверды|tvṝdy|21|adj_hard|A-твьрдыи|1
тверды́|тверды|tvṝdy|21|adj_hard|A-твьрдыи|1
тёмный||||adj_hard|A-тьмьныи|0
тёмное|темное|tьmьnoje|43|adj_hard|A-тьмьныи|1
тёмная|темная|tьmьnajǢ|22|adj_hard|A-тьмьныи|1
тёмные|темные|tьmьnyję̌|15|adj_hard|A-тьмьныи|1
тёмного|темного|tьmьnogo|3|adj_hard|A-тьмьныи|1
тёмной|темной|tьmьnъjь|1|adj_hard|A-тьмьныи|1
тёмных|темных|tьmьnyxъ|17|adj_hard|A-тьмьныи|1
тёмному|темному|tьmьnomu|4|adj_hard|A-тьмьныи|1
тёмным|темным|tьmьnymь|6|adj_hard|A-тьмьныи|1
тёмную|темную|tьmьnǫjǫ|23|adj_hard|A-тьмьныи|1
тёмною|темною|tьmьnojǫ|27|adj_hard|A-тьмьныи|1
тёмными|темными|tьmьnymi|20|adj_hard|A-тьмьныи|1
тёмном|темном|tьmьnomь|5|adj_hard|A-тьмьныи|1
тёмен||||adj_hard|A-тьмьныи|0
темно́|темно|tьmьno|49|adj_hard|A-тьмьныи|1
темна́|темна|tьmьna|8|adj_hard|A-тьмьныи|1
темны́|темны|tьmьny|21|adj_hard|A-тьмьныи|1
червлёный||||adj_hard|A-чьрленыи|0
червлёное|червленое|čṝvĺenoje|43|adj_hard|A-чьрленыи|1
червлёная|червленая|čṝvĺenajǢ|22|adj_hard|A-чьрленыи|1
червлёные|червленые|čṝvĺenyję̌|15|adj_hard|A-чьрленыи|1
червлёного|червленого|čṝvĺenogo|3|adj_hard|A-чьрленыи|1
червлёной|червленой|čṝvĺenъjь|1|adj_hard|A-чьрленыи|1
червлёных|червленых|čṝvĺenyxъ|17|adj_hard|A-чьрленыи|1
червлёному|червленому|čṝvĺenomu|4|adj_hard|A-чьрленыи|1
червлёным|червленым|čṝvĺenymь|6|adj_hard|A-чьрленыи|1
червлёную|червленую|čṝvĺenǫjǫ|23|adj_hard|A-чьрленыи|1
червлёною|червленою|čṝvĺenojǫ|27|adj_hard|A-чьрленыи|1
червлёными|червлеными|čṝvĺenymi|20|adj_hard|A-чьрленыи|1
червлёном|червленом|čṝvĺenomь|5|adj_hard|A-чьрленыи|1
червлён|червлен|čṝvĺenъ|7|adj_hard|A-чьрленыи|1
червлёно|червлено|čṝvĺeno|49|adj_hard|A-чьрленыи|1
червлёна|червлена|čṝvĺena|8|adj_hard|A-чьрленыи|1
червлёны|червлены|čṝvĺeny|21|adj_hard|A-чьрленыи|1
чёрный||||adj_hard|A-чьрныи|0
чёрное|черное|čṝnoje|43|adj_hard|A-чьрныи|1
чёрная|черная|čṝnajǢ|22|adj_hard|A-чьрныи|1
чёрные|черные|čṝnyję̌|15|adj_hard|A-чьрныи|1
чёрного|черного|čṝnogo|3|adj_hard|A-чьрныи|1
чёрной|черной|čṝnъjь|1|adj_hard|A-чьрныи|1
чёрных|черных|čṝnyxъ|17|adj_hard|A-чьрныи|1
чёрному|черному|čṝnomu|4|adj_hard|A-чьрныи|1
чёрным|черным|čṝnymь|6|adj_hard|A-чьрныи|1
чёрную|черную|čṝnǫjǫ|23|adj_hard|A-чьрныи|1
чёрною|черною|čṝnojǫ|27|adj_hard|A-чьрныи|1
чёрными|черными|čṝnymi|20|adj_hard|A-чьрныи|1
чёрном|черном|čṝnomь|5|adj_hard|A-чьрныи|1
чёрен||||adj_hard|A-чьрныи|0
черно́|черно|čṝno|49|adj_hard|A-чьрныи|1
черна́|черна|čṝna|8|adj_hard|A-чьрныи|1
черны́|черны|čṝny|21|adj_hard|A-чьрныи|1
четвёртый||||adj_hard|Moчетвьртыи|0
четвёртое|четвертое|četvṝtoje|43|adj_hard|Moчетвьртыи|1
четвёртая|четвертая|četvṝtajǢ|22|adj_hard|Moчетвьртыи|1
четвёртые|четвертые|četvṝtyję̌|15|adj_hard|Moчетвьртыи|1
четвёртого|четвертого|četvṝtogo|3|adj_hard|Moчетвьртыи|1
четвёртой|четвертой|četvṝtъjь|1|adj_hard|Moчетвьртыи|1
четвёртых|четвертых|četvṝtyxъ|17|adj_hard|Moчетвьртыи|1
четвёртому|четвертому|četvṝtomu|4|adj_hard|Moчетвьртыи|1
четвёртым|четвертым|četvṝtymь|6|adj_hard|Moчетвьртыи|1
четвёртую|четвертую|četvṝtǫjǫ|23|adj_hard|Moчетвьртыи|1
четвёртою|четвертою|četvṝtojǫ|27|adj_hard|Moчетвьртыи|1
четвёртыми|четвертыми|četvṝtymi|20|adj_hard|Moчетвьртыи|1
четвёртом|четвертом|četvṝtomь|5|adj_hard|Moчетвьртыи|1
шатёр|шатер|šatьrъ|1|masc_o|Nbшатьръ|1
шатры́|шатры|šatьry|16|masc_o|Nbшатьръ|1
шатра́|шатра|šatьra|3|masc_o|Nbшатьръ|1
шатро́в|шатров|šatьrovъ|17|masc_o|Nbшатьръ|1
шатру́|шатру|šatьru|4|masc_o|Nbшатьръ|1
шатра́м|шатрам|šatьramъ|18|masc_o|Nbшатьръ|1
шатро́м|шатром|šatьrOmь|6|masc_o|Nbшатьръ|1
шатра́ми|шатрами|šatьrami|20|masc_o|Nbшатьръ|1
шатре́|шатре|šatьrě|5|masc_o|Nbшатьръ|1
шатра́х|шатрах|šatьraxъ|19|masc_o|Nbшатьръ|1
