азъ,1,Азъ,Pp,1s---mn--i
грѣшьныи,2,грѣшьныи,A-,-s---mnpwi
рабъ,3,рабъ,Nb,-s---mn--i
божии,4,бж҃ии,A-,-s---mnpti
недостоиныи,5,недостоиныи,A-,-s---mnpwi
дъмъка,6,дъмъка,Ne,-s---mn--i
написати,7,написахъ,V-,1saia----i
кънига,8,кънигы,Nb,-p---fa--i
сии,9,сиꙗ,Pd,-p---fa--i
святыи,10,ст҃ѣи,A-,-s---fdpwi
госпожа,11,г҃жѣ,Nb,-s---fd--i
богородица,12,бц҃ѣ,Nb,-s---fd--i
да,13,да,C-,---------n
отьць,14,ѡче,Nb,-s---mv--i
братия,15,братиѥ,Nb,-s---fv--i
богъ,16,б҃а,Nb,-s---mg--i
себе,17,сѧ,Pk,3s---qa--i
бояти,18,боꙗче,V-,-pppamn-si
азъ,1,азъ,Pp,1s---mn--i
бо,19,бо,Df,---------n
быти,20,есмь,V-,1spia----i
грѣшьныи,2,грѣшьнъ,A-,-s---mnpsi
невѣжа,21,невѣжа,Nb,-s---mn--i
да,13,да,C-,---------n
написати,7,напьсахъ,V-,1saia----i
без,22,бес,R-,---------n
показание,23,показаниꙗ,Nb,-s---ng--i
въ,24,въ,R-,---------n
свои,25,своихъ,Pt,3p---ml--i
грѣхъ,26,грѣсѣхъ,Nb,-p---ml--i
погрузити,27,погроуженъ,V-,-suppmn-si
святыи,10,ст҃аꙗ,A-,-s---fnpwi
богородица,12,б҃це,Nb,-s---fv--i
помагати,28,помагаи,V-,2spma----i
рабъ,3,рабоу,Nb,-s---md--i
свои,25,своемоу,Pt,3s---md--i
дъмъка,6,дъмъкѣ,Ne,-s---md--i
на,29,на,R-,---------n
мъногыи,30,мънага,A-,-p---napsi
лѣто,31,лѣта,Nb,-p---na--i
аминъ,32,аминъ,I-,---------n
простити,33,простите,V-,2ppma----i
азъ,1,мѧ,Pp,1s---ma--i
грѣшьныи,2,грѣшьнаго,A-,-s---mgpwi
господь,34,г҃и,Nb,-s---mv--i
простити,33,простите,V-,2ppma----i
азъ,1,мѧ,Pp,1s---ma--i
грѣшьныи,2,грѣшьнаго,A-,-s---mgpwi
убогыи,35,оубогаго,A-,-s---mgpwi
унылыи,36,оунылаго,A-,-s---mgpwi
недостоиныи,5,недостоинаго,A-,-s---mgpwi
рабъ,3,раба,Nb,-s---mg--i
свои,25,своего,Pt,3s---mg--i
яковъ,37,ѧкова,Ne,-s---mg--i
а,38,а,C-,---------n
мирьскы,39,мирьскы,Df,---------n
дъмъка,6,дъмъка,Ne,-s---mn--i
простити,33,простите,V-,2ppma----i
же,40,же,Df,---------n
азъ,1,мѧ,Pp,1s---ma--i
аминъ,32,аминъ,I-,---------n
господь,34,г҃и,Nb,-s---mv--i
помощи,41,помози,V-,2spma----i
рабъ,3,рабоу,Nb,-s---md--i
свои,25,своемоу,Pt,3s---md--i
дъмъка,6,дъмъкѣ,Ne,-s---md--i
господь,34,г҃и,Nb,-s---mv--i
простити,33,простите,V-,2ppma----i
азъ,1,мꙗ,Pp,1s---ma--i
убогыи,35,оубогаго,A-,-s---mgpwi
и,42,и,C-,---------n
недостоиныи,5,недостоинаго,A-,-s---mgpwi
рабъ,3,раба,Nb,-s---mg--i
свои,25,своего,Pt,3s---mg--i
дъмъка,6,дъмъкоу,Ne,-s---ma--i
дияволъ,43,дьѧволъ,Nb,-s---mn--i
азъ,1,мѧ,Pp,1s---ma--i
изблазнити,44,изблазни,V-,3saia----i
да,13,да,C-,---------n
господь,34,г҃и,Nb,-s---mv--i
простити,33,прости,V-,2spma----i
азъ,1,мѧ,Pp,1s---ma--i
господь,34,г҃и,Nb,-s---mv--i
простити,33,простите,V-,2ppma----i
азъ,1,мѧ,Pp,1s---ma--i
грѣшьныи,2,грѣшьнаго,A-,-s---mgpwi
и,42,и,C-,---------n
убогыи,35,оубогаго,A-,-s---mgpwi
и,42,и,C-,---------n
недостоиныи,5,недостоинаго,A-,-s---mgpwi
съгрѣшити,45,съгрѣшьша,V-,-supamg-si
ты,46,тебе,Pp,2s---md--i
аминъ,32,аминъ,I-,---------n
